,gid,aid,move,fen,annotation
0,0,0,1Bb2,b'r1bq1rk1/1p1nppbp/p2p1np1/8/2PN4/1PN3P1/PB2PPBP/R2Q1RK1 b - -',"ultima jugada del libro
"
1,0,1,1b5,b'r4rk1/1pq1ppbp/p2p1np1/1P6/b1PN4/6P1/PB1QPPBP/2R2RK1 b - -',"El Blanco obtiene más espacio
"
2,0,2,1Nb5,b'5rk1/1pqnppbp/r2p2p1/1N6/b1P5/6P1/PB1QPPBP/2R2RK1 b - -',"El Blanco puede sentirse orgulloso de esta pieza
"
3,0,3,1Qb8,b'1q3rk1/1p1nppbp/r2p2p1/1N6/b1P5/6P1/PB1QPPBP/2R2RK1 w - -',"Alternative variation: 17... Qa5 [ tiene algunas virtudes obvias] 18. Bc3 Bxc3 19. Rxc3 Nc5 $11
"
4,0,4,Rxb6,b'4r1k1/3npp1p/1rpp2p1/8/2P2P2/6P1/P1R1P1BP/5RK1 w - -',"Alternative variation: [Más débil es] 25... Nxb6 26. Bxc6 Rd8 27. e4 $18
"
5,0,5,2a4,b'4r1k1/3npp1p/1rpp2p1/8/P1P2P2/6P1/2R1P1BP/5RK1 b - a3',"Alternative variation: 26. Rf3 Ra6 $11
"
6,0,6,3hxg6,b'8/3k1p1p/2pp2P1/2n5/r1P2P2/1r2R1P1/2R1BK2/8 b - -',"Alternative variation: 38. Rxb3 Nxb3 39. Rb2 Nd4 $19
"
7,0,7,3Bg4+,b'8/3k1p1p/2pp2P1/2n5/r1P2PB1/4r1P1/2R2K2/8 b - -',"no hace mucho para defender la posición
Alternative variation: 39. Kxe3 Ra3+ 40. Kd2 hxg6 41. g4 
"
8,0,8,3Re6,b'8/3k1p1p/2ppr1P1/2n5/r1P2PB1/6P1/2R2K2/8 w - -',"un desagradable jaque
"
9,0,9,4gxh7,b'8/3k1p1P/2ppr3/2n5/r1P2PB1/6P1/2R2K2/8 b - -',"Alternative variation: 40. Bxe6+ Nxe6 [Combination]
"
10,0,10,4g4,b'5n1r/4kp1P/2pp4/8/2P2PP1/5K2/7R/8 b - -',"Alternative variation: 45. Ra2 [ ya no cambiará nada] Rxh7 46. Ra6 Ne6 $19
"
11,0,11,4f5,b'5n2/3k1p1r/2pp4/5P2/2P3P1/5K2/4R3/8 b - -',"Alternative variation: 47. Ke4 [no resuelve nada] Rh1 48. Ra2 Ne6 49. Ra7+ Ke8 $19
"
12,0,12,Rc3,b'8/3k1p1n/2pp4/5P2/2P2KP1/2r5/R7/8 w - -',"Alternative variation: 49... f6 [mantiene incluso un dominio más firme] 50. Ra7+ Kd8 51. Rg7 $19
"
13,0,13,5Ra7+,b'8/R2k1p1n/2pp4/5P2/2P2KP1/2r5/8/8 b - -',"Alternative variation: 50. Ra4 [no puede cambiar el destino] Rc1 $19
"
14,0,14,5Ra8+,b'R3k3/5p1n/2pp4/5P2/2P2KP1/2r5/8/8 b - -',"Alternative variation: 51. c5 [no ganará ningún premio] Rxc5 52. Ra4 Rc1 $19
"
15,0,15,5Ra7+,b'8/R3kp1n/2pp4/5P2/2P2KP1/2r5/8/8 b - -',"Alternative variation: 52. c5 [no es la salvación] Rxc5 53. Ra4 Kf6 $19
"
16,0,16,5Ra4,b'8/5p1n/2pp1k2/5P2/R1P2KP1/2r5/8/8 b - -',"Alternative variation: 53. Rd7 [ no es bueno pero? qué se podía hacer?] Rxc4+ 54. Ke3 $19
"
17,0,17,5Ng5,b'8/5p2/2pp1k2/5Pn1/R1P2KP1/2r5/8/8 w - -',"Alternative variation: 53... Ng5 54. Ra3 Rxa3 55. c5 Rf3#
"
