,gid,aid,fen,move,annotation
0,0,0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3,e2e4,I am annotating this at the request of my friend Jon.
1,0,1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6,e7e5,Conventional first move.
2,0,2,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq c3,c2c4,But this is very strange. White should really be developing.
3,0,3,rnbqkbnr/pp1p1ppp/8/2p1p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq c6,c7c5,"Black settles for symmetrical equality, but I think black would do better to develop too."
4,0,4,rnbqkbnr/pp1p1ppp/8/2p1p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq -,g1f3,White attacks e5
5,0,5,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,b8c6,Black protects
6,0,6,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,b1c3,he other knight emerges
7,0,7,r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,g8f6,As does black.
8,0,8,r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P1P3/2NP1N2/PP3PPP/R1BQKB1R b KQkq -,d2d3,Opens a diagonal for his bishop.
9,0,9,r1bqkb1r/p2p1ppp/1pn2n2/2p1p3/2P1P3/2NP1N2/PP3PPP/R1BQKB1R w KQkq -,b7b6,"Supports the c pawn. Actually I think now black played h6 here, and b6 on move 14....oh well..."
10,0,10,r1bqkb1r/p2p1ppp/1pn2n2/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,h2h3,Not sure of the point of this move.
11,0,11,r1bqkb1r/p4ppp/1pnp1n2/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R w KQkq -,d7d6,Preparing to develop Bc8
12,0,12,r1bqkb1r/p4ppp/1pnp1n2/2p1p3/2P1P3/2NPBN1P/PP3PP1/R2QKB1R b KQkq -,c1e3,Now the bishops come out.
13,0,13,r1bqk2r/p3bppp/1pnp1n2/2p1p3/2P1P3/2NPBN1P/PP3PP1/R2QKB1R w KQkq -,f8e7,2nd one.
14,0,14,r1bqk2r/p3bppp/1pnp1n2/2p1p3/2P1P3/2NPBN1P/PP2BPP1/R2QK2R b KQkq -,f1e2,3rd one.
15,0,15,r2qk2r/p3bppp/1pnpbn2/2p1p3/2P1P3/2NPBN1P/PP2BPP1/R2QK2R w KQkq -,c8e6,4th
16,0,16,r2qk2r/p3bppp/1pnpbn2/2p1p3/2P1P3/2NPBN1P/PP2BPP1/1R1QK2R b Kkq -,a1b1,Aiming for b2-b4 at some stage presumably?
17,0,17,r2qk2r/4bppp/ppnpbn2/2p1p3/2P1P3/2NPBN1P/PP2BPP1/1R1QK2R w Kkq -,a7a6,Another slightly timid move.
18,0,18,r2qk2r/4bppp/ppnpbn2/2p1p3/2P1P3/P1NPBN1P/1P2BPP1/1R1QK2R b Kkq -,a2a3,And also by white.
19,0,19,r2q1rk1/4bppp/ppnpbn2/2p1p3/2P1P3/P1NPBN1P/1P2BPP1/1R1QK2R w K -,e8g8,Good move!
20,1,0,rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3,c2c4,"I'm always happy to see 2.c4 as it allows me to play a Black Knight's Tango, which I very rarely get to play. Shame really as I seem to beat everyone with it. I more frequently see 2.Nf3 where I am forced to go into a more direct KID setup.
Alternative variation: 2. Nf3 [The Tango doesn't work in these kinds of positions as white simply has] Nc6 3. d5 [when black can't go] [due to the Knight on f3.] Ne5
"
